indicatorNid,indicatorName,parentColumn,unit,subgroup,numerator,denominator,aggregationType,parentType,formId,periodicity,aggregationRule,highIsGood,typeDetailId,area,collection,sector,subsector
106,Percentage of T4 Sessions supervised where there was adequate engagement from audience,,percent,adequate engagement,102,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
107,Percentage of T4 Sessions supervised where there was very high level of engagement from audience,,percent,very high level of engagement,103,30,percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
108,Respondents who reported of learning from attending T4 Sessions ,data.F7BEGINREPEAT001,number,learning,data.F7BEGINREPEAT001.F7BR02,,number,begin-repeat:dropdown,7,monthly,,TRUE,122,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
109,Respondents who reported of not learning from attending T4 Sessions ,data.F7BEGINREPEAT001,number,not learning,data.F7BEGINREPEAT001.F7BR02,,number,begin-repeat:dropdown,7,monthly,,TRUE,123,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
110,Respondents willing to attend more sessions after  attending T4 Sessions ,data.F7BEGINREPEAT001,number,willing to attend more sessions,data.F7BEGINREPEAT001.F7BR03,,number,begin-repeat:dropdown,7,monthly,,TRUE,122,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
111,Respondents not willing to attend more sessions after  attending T4 Sessions ,data.F7BEGINREPEAT001,number,not willing to attend more sessions,data.F7BEGINREPEAT001.F7BR03,,number,begin-repeat:dropdown,7,monthly,,TRUE,123,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
112,Percentage of Respondents who reported of learning from attending T4 Sessions ,,percent,learning,108,"1,08,109",percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
113,Percentage of Respondents who reported of not learning from attending T4 Sessions ,,percent,not learning,109,"1,08,109",percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
114,Percentage of Respondents willing to attend more sessions after  attending T4 Sessions ,,percent,willing to attend more sessions,110,"1,10,111",percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
115,Percentage of Respondents not willing to attend more sessions after  attending T4 Sessions ,,percent,not willing to attend more sessions,111,"1,10,111",percent,indicator,7,monthly,,TRUE,,data.F7Q3,org.sdrc.datum19.document.CFInputFormData,T4,T4
116,Number of Community Engagement meetings done,,number,total,F2Q3,,count,form,2,monthly,total,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
117,"Number of community Engagement Meetings conducted with theme ""Women in the area, their life style and their vulnerabilities""",,number,"Women in the area, their life style and their vulnerabilities",F2Q7,,number,dropdown,2,monthly,,TRUE,29,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
118,"Number of community Engagement Meetings conducted with theme ""What is anaemia, its causes and symptoms""",,number,"What is anaemia, its causes and symptoms",F2Q7,,number,dropdown,2,monthly,,TRUE,30,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
119,"Number of community Engagement Meetings conducted with theme ""Effects due to anaemia""",,number,Effects due to anaemia,F2Q7,,number,dropdown,2,monthly,,TRUE,31,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
120,"Number of community Engagement Meetings conducted with theme ""Addressing anaemia using various approaches""",,number,Addressing anaemia using various approaches,F2Q7,,number,dropdown,2,monthly,,TRUE,32,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
121,"Number of community Engagement Meetings conducted with theme ""Supplements for anaemia (IFA)""",,number,Supplements for anaemia (IFA),F2Q7,,number,dropdown,2,monthly,,TRUE,33,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
122,"Number of community Engagement Meetings conducted with theme ""Understanding barriers and opportunities""",,number,Understanding barriers and opportunities,F2Q7,,number,dropdown,2,monthly,,TRUE,34,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
123,"Number of community Engagement Meetings conducted with theme ""Role of other stakeholders in ensuring IFA compliance""",,number,Role of other stakeholders in ensuring IFA compliance,F2Q7,,number,dropdown,2,monthly,,TRUE,35,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
124,"Number of community Engagement Meetings conducted with theme ""dietary diversity""",,number,dietary diversity,F2Q7,,number,dropdown,2,monthly,,TRUE,36,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
125,"Number of community Engagement Meetings conducted with theme ""deworming and malaria-effect on anaemia and IFA intake""",,number,deworming and malaria-effect on anaemia and IFA intake,F2Q7,,number,dropdown,2,monthly,,TRUE,37,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
126,"Number of community Engagement Meetings conducted with theme ""WASH""",,number,WASH,F2Q7,,number,dropdown,2,monthly,,TRUE,38,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
127,Community engagement meetings conducted  with  Adolescent girls,,number,Adolescent girls,F2NE1,,Count,dropdown,2,monthly,,TRUE,39,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
128,Community engagement meetings conducted  with  women of reproductive age group (WRA)(15-49),,number,women of reproductive age group (WRA),F2NE1,,Count,dropdown,2,monthly,,TRUE,40,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
129,Community engagement meetings conducted  with  older women (50+),,number,older women,F2NE1,,Count,dropdown,2,monthly,,TRUE,41,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
130,Community engagement meetings conducted  with  men,,number,men,F2NE1,,Count,dropdown,2,monthly,,TRUE,42,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
131,Percentage of Community engagement meetings conducted  with  Adolescent girls,,percent,Adolescent girls,127,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
132,Percentage of Community engagement meetings conducted  with  women of reproductive age group (WRA)(15-49),,percent,women of reproductive age group (WRA),128,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
133,Percentage of Community engagement meetings conducted  with  older women (50+),,percent,older women,129,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
134,Percentage of Community engagement meetings conducted  with  men,,percent,men,130,116,percent,indicator,2,monthly,,TRUE,,data.F2Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
135,No of Community Engement Meetings supervised,,number,total,F8Q3,,count,form,8,monthly,total,TRUE,,data.F8Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
138,Members who attended  Community Engement Meeting  have attended T4 session?,,number,total,F8Q10,,number,numeric,8,monthly,,TRUE,,data.F8Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
139,Total number of members present in Community Engement Meetings,,number,total,F8QT1,,number,numeric,8,monthly,,TRUE,,data.F8Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
140,Percentage of Members who attended  Community Engement Meeting  have attended T4 session,,percent,total,138,139,percent,indicator,8,monthly,,TRUE,,data.F8Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
141,Members who attended  Community Engement Meeting  have attended T4 session and can recall the key messages,,number,total,F8Q11,,number,numeric,8,monthly,,TRUE,,data.F8Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
142,Percentage of Members who attended  Community Engement Meeting  have attended T4 session and can recall the key messages,,percent,total,141,139,percent,indicator,8,monthly,,TRUE,,data.F8Q3,org.sdrc.datum19.document.CFInputFormData,Community Engagement Meeting,Community Engagement Meeting
145,Total no of media demo session were conducted,,number,total,F3Q3,,count,form,3,monthly,total,TRUE,47,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
146,"Media demo session where Video ""Friendship with health : Ep1: Promo"" was shown ",,number,total,F3Q5,,number,checkbox,3,monthly,,TRUE,47,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
147,"Media demo session where Video ""Friendship with health : Ep2 : Sangeeta’s Race"" was shown ",,number,total,F3Q5,,number,checkbox,3,monthly,,TRUE,48,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
148,"Media demo session where Video ""Friendship with health : Ep3 : Change in Munni Mausi Attitude"" was shown ",,number,total,F3Q5,,number,checkbox,3,monthly,,TRUE,49,data.F3Q3,org.sdrc.datum19.document.CFInputFormData,Media Demonstration,Media Demonstration
